Player,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/40,OBPM,DBPM,BPM
Elijah Hughes,32,32,1175,22.1,0.561,0.511,0.491,0.358,570,1.4,13.2,7.4,20.1,1.8,2.9,11.9,26.6,3.5,1.3,4.8,0.164,6,1.2,7.3
Marek Dolezaj,32,32,1064,18,0.576,0.509,0.032,0.667,369,7.7,13.6,10.7,15.5,2,3.4,17.7,16.7,2.5,1.3,3.7,0.141,2.2,2.3,4.5
Bourama Sidibe,32,32,768,20,0.672,0.692,0,0.479,201,13.1,21.5,17.4,1.5,3.1,7.6,17.3,11.5,1.7,1.6,3.3,0.171,1.1,3.3,4.4
Buddy Boeheim,32,32,1138,15.4,0.532,0.518,0.602,0.129,434,1.2,4.7,3,12.8,1.8,0.7,9.2,22.7,2.2,0.7,2.9,0.1,3.5,-0.1,3.4
Joseph Girard III,32,30,1057,15.3,0.503,0.447,0.615,0.268,398,0.5,9.4,5.1,20.8,2.6,0.4,13.2,21.9,1.7,1,2.8,0.105,2.4,1.1,3.5
Quincy Guerrier,32,0,651,16.2,0.538,0.506,0.155,0.671,224,9.9,18.8,14.5,5.7,1.3,5.1,17.4,19.3,1,0.9,1.9,0.114,-0.2,1,0.8
Jesse Edwards,21,0,145,21.9,0.757,0.792,0,0.792,43,8.6,17.9,13.4,0,1.6,9.1,15.4,13.6,0.4,0.2,0.6,0.177,1.9,2.9,4.8
Howard Washington,20,0,148,10.1,0.392,0.308,0.5,0.269,34,1.5,11,6.4,27.8,3.2,0,27.3,13.8,0,0.2,0.2,0.046,-1.4,1.9,0.5
Robert Braswell,7,0,48,12.8,0.667,0.667,0.667,0,9,2.4,15.8,9.2,0,3.7,0,18.2,11.6,0,0.1,0.1,0.101,0.8,1.6,2.4
Nick Giancola,5,0,6,0,,,,,0,0,0,0,0,0,0,,0,0,0,0,-0.005,-1.6,-0.9,-2.5
Brycen Goodine,23,0,200,6.8,0.388,0.33,0.48,0.28,50,3.4,9.7,6.6,14.4,3.2,1.3,23.1,18.7,-0.2,0.2,0,0.008,-4.1,1.9,-2.3
Chris Lavalle,5,0,6,10.5,,,,,2,0,0,0,79.3,0,0,100,8.5,0,0,0,0.015,4,-1.5,2.5
Brendan Paul,7,0,9,-0.2,0.3,0.3,1,0,2,0,12,6.1,0,0,0,0,28.2,0,0,0,-0.07,-5.3,-4.7,-10
Shaun Belbey,9,0,12,-11.7,0,0,0,0,0,0,9,4.6,0,0,0,33.3,12.7,-0.1,0,-0.1,-0.189,-11.2,-3.9,-15.1
Jalen Carey,2,2,23,-7.8,0.152,0.125,0,0.5,4,9.9,18.8,14.4,7.4,2.5,0,23.3,28.4,-0.2,0,-0.1,-0.211,-10,0,-10