#,Player,Position,Height,Weight,Class,Hometown / High School
0,Brycen Goodine,G,6-3,183,Fr.,"New Bedford, Mass. / St. Andrews School (R.I.)"
1,Quincy Guerrier,F,6-7,220,Fr.,"Montreal, Quebec / Thetford Academy (Quebec)"
2,John Bol Ajak,C,6-`0,215,Fr.,"Natinga, South Sudan / Westtown School (Pa.)"
5,Jalen Carey,G,6-3,186,So.,"Harlem, N.Y. / Immaculate Conception"
10,Howard Washington,G,6-3,175,Jr.,"Buffalo, N.Y. / Canisius/Montverde Academy, Fla./Athlete Institute Prep"
11,Joseph Girard III,G,6-1,181,Fr.,"Glens Falls, N.Y. / Glens Falls"
12,Brendan Paul,G,6-2,175,So.,"Shaker Heights, Ohio / Hawken/Brewster Academy (N,H.)"
13,Chris LaValle,G,5-11,175,Jr.,"Syracuse, N.Y. / West Genesee"
14,Jesse Edwards,C,6-11,215,Fr.,"Amsterdam, Netherlands / IMG Academy (Fla.)"
20,Robert Braswell,F,6-7,200,So.,"Jacksonville, Fla. / Blythewood (S.C.)"
21,Marek Dolezaj,F,6-10,185,Jr.,"Bratislava, Slovakia / Karlovka"
24,Shaun Belbey,G,5-10,165,Gr.,"Brick, N.J. / Christian Brothers Academy"
32,Nick Giancola,F,6-5,183,Jr.,"Lexington, Ken. / Lexington Catholic"
33,Elijah Hughes,F,6-6,215,R-Jr.,"Beacon, N.Y. / Beacon/Kennedy/South Kent Prep, Conn."
34,Bourama Sidibe,F,6-10,210,Jr.,"Bamako, Mali / St. Benedict's Prep (N.J.)"
35,Buddy Boeheim,G,6-6,195,So.,"Fayetteville, N.Y. / Jamesville-DeWitt/Brewster Academy (N.H.)"